GeneID,GeneName,Family_Subfamily,ProteinClass,GO_MF,GO_BP,GO_CC
Zm00001eb051220,Exocyst complex component Sec3 PIP2-binding N-terminal domain-containing protein,EXOCYST COMPLEX COMPONENT 1 ISOFORM X1 (PTHR16092:SF14),SNARE protein(PC00034),"phosphatidylinositol-4,5-bisphosphate binding(GO:0005546)",exocytosis(GO:0006887);Golgi to plasma membrane transport(GO:0006893),exocyst(GO:0000145);plasma membrane(GO:0005886)
Zm00001eb100420,Carbonic anhydrase,CARBONIC ANHYDRASE (PTHR18952:SF262),dehydratase(PC00091),carbonate dehydratase activity(GO:0004089);zinc ion binding(GO:0008270);lyase activity(GO:0016829);hydro-lyase activity(GO:0016836);metal ion binding(GO:0046872),,
Zm00001eb272770,Tetratricopeptide repeat (TPR)-like superfamily protein,TETRATRICOPEPTIDE REPEAT (TPR)-LIKE SUPERFAMILY PROTEIN (PTHR31871:SF67),,,,
Zm00001eb034990,ABC transporter C family member 10,ABC TRANSPORTER C FAMILY MEMBER 10 (PTHR24223:SF459),ATP-binding cassette (ABC) transporter(PC00003),nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359),transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb345070,Alpha_beta-Hydrolases superfamily protein,OS04G0174900 PROTEIN (PTHR46234:SF7),hydrolase(PC00121),hydrolase activity(GO:0016787),,
Zm00001eb347770,Uncharacterized protein,ATAXIN-2 C-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR33356:SF12),,,,
Zm00001eb402290,Uncharacterized protein,EXPRESSED PROTEIN (PTHR35296:SF3),,,response to auxin(GO:0009733),
Zm00001eb415520,Transcription factor bHLH35,,,protein dimerization activity(GO:0046983),,nucleus(GO:0005634)
Zm00001eb369520,DNA glycosylase superfamily protein,DNA GLYCOSYLASE SUPERFAMILY PROTEIN (PTHR31116:SF4),,catalytic activity(GO:0003824);DNA-3-methyladenine glycosylase activity(GO:0008725);metal ion binding(GO:0046872),DNA repair(GO:0006281);base-excision repair(GO:0006284),
Zm00001eb152180,Nucleic acid binding,NUCLEIC ACID BINDING PROTEIN (PTHR21494:SF2),,nucleic acid binding(GO:0003676);RNA binding(GO:0003723);ubiquitin binding(GO:0043130),,
Zm00001eb157870,glucose-6-phosphate 1-epimerase,GLUCOSE-6-PHOSPHATE 1-EPIMERASE (PTHR11122:SF10),,,,
Zm00001eb000700,Nascent polypeptide-associated complex subunit beta,NASCENT POLYPEPTIDE-ASSOCIATED COMPLEX SUBUNIT BETA (PTHR10351:SF59),DNA-binding transcription factor(PC00218),,,cytosol(GO:0005829);nascent polypeptide-associated complex(GO:0005854)
Zm00001eb258880,NAD-dependent epimerase_dehydratase domain-containing protein,"NADH DEHYDROGENASE [UBIQUINONE] 1 ALPHA SUBCOMPLEX SUBUNIT 9, MITOCHONDRIAL (PTHR12126:SF11)",oxidoreductase(PC00176),,,
Zm00001eb367890,Triose phosphate isomerase5,OS01G0841600 PROTEIN (PTHR21139:SF37),isomerase(PC00135),triose-phosphate isomerase activity(GO:0004807);isomerase activity(GO:0016853),gluconeogenesis(GO:0006094);glycolytic process(GO:0006096);carbohydrate catabolic process(GO:0016052);glycerol catabolic process(GO:0019563);glyceraldehyde-3-phosphate biosynthetic process(GO:0046166),cytosol(GO:0005829)
Zm00001eb031730,Mediator of RNA polymerase II transcription subunit 19a,MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 19 (PTHR22536:SF1),,transcription coregulator activity(GO:0003712),regulation of transcription by RNA polymerase II(GO:0006357);positive regulation of transcription by RNA polymerase II(GO:0045944),nucleus(GO:0005634);mediator complex(GO:0016592)
Zm00001eb033760,Oligopeptide transporter 5,OS08G0492000 PROTEIN (PTHR22601:SF69),,oligopeptide transmembrane transporter activity(GO:0035673),protein transport(GO:0015031);peptide transport(GO:0015833);oligopeptide transmembrane transport(GO:0035672);transmembrane transport(GO:0055085),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb038510,PMP,OS08G0567000 PROTEIN (PTHR37735:SF1),,,,
Zm00001eb088800,cinnamyl-alcohol dehydrogenase,CINNAMYL ALCOHOL DEHYDROGENASE 6-RELATED (PTHR42683:SF37),oxidoreductase(PC00176),,,
Zm00001eb199530,Putative WRKY DNA-binding domain superfamily protein,OS08G0499300 PROTEIN (PTHR31221:SF338),DNA-binding transcription factor(PC00218),,,
Zm00001eb370860,Heat-and acid-stable phosphoprotein,28 KDA HEAT- AND ACID-STABLE PHOSPHOPROTEIN (PTHR22055:SF0),,,,cytosol(GO:0005829)
Zm00001eb376490,Long-chain-fatty-acid--CoA ligase,OS06G0158000 PROTEIN (PTHR43272:SF79),ligase(PC00142),nucleotide binding(GO:0000166);long-chain fatty acid-CoA ligase activity(GO:0004467);ATP binding(GO:0005524);4-coumarate-CoA ligase activity(GO:0016207);ligase activity(GO:0016874);trans-cinnamate-CoA ligase activity(GO:0106290),long-chain fatty acid metabolic process(GO:0001676);lipid metabolic process(GO:0006629);fatty acid metabolic process(GO:0006631);phenylpropanoid metabolic process(GO:0009698),endoplasmic reticulum(GO:0005783);membrane(GO:0016020)
Zm00001eb421140,Major facilitator superfamily protein,OS04G0388700 PROTEIN (PTHR21576:SF96),,,,membrane(GO:0016020)
Zm00001eb086870,transketolase,TRANSKETOLASE (PTHR43522:SF3),transketolase(PC00221),transketolase activity(GO:0004802);transferase activity(GO:0016740);metal ion binding(GO:0046872),pentose-phosphate shunt(GO:0006098),cytosol(GO:0005829)
Zm00001eb403740,Putative ubiquitin-conjugating enzyme family,SUMO-CONJUGATING ENZYME SCE1 (PTHR24067:SF329),ubiquitin-protein ligase(PC00234),nucleotide binding(GO:0000166);ATP binding(GO:0005524);transferase activity(GO:0016740);SUMO conjugating enzyme activity(GO:0061656),protein sumoylation(GO:0016925),nucleus(GO:0005634)
Zm00001eb254390,Auxin efflux carrier component,AUXIN EFFLUX CARRIER COMPONENT 1A (PTHR31752:SF48),secondary carrier transporter(PC00258),auxin efflux transmembrane transporter activity(GO:0010329),auxin-activated signaling pathway(GO:0009734);auxin polar transport(GO:0009926);auxin export across the plasma membrane(GO:0010315);transmembrane transport(GO:0055085),endoplasmic reticulum(GO:0005783);plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb147610,Exostosin family protein,EXOSTOSIN-LIKE 2 (PTHR11062:SF281),glycosyltransferase(PC00111),glycosyltransferase activity(GO:0016757),,Golgi membrane(GO:0000139)
Zm00001eb252170,AAA-type ATPase family protein,AAA-TYPE ATPASE FAMILY PROTEIN (PTHR23075:SF13),,nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887),mitochondrion organization(GO:0007005),mitochondrion(GO:0005739)
Zm00001eb333950,Putative uridine nucleosidase 2,URIDINE NUCLEOSIDASE (PTHR12304:SF4),hydrolase(PC00121),"purine nucleosidase activity(GO:0008477);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);hydrolase activity, hydrolyzing N-glycosyl compounds(GO:0016799);uridine nucleosidase activity(GO:0045437);protein heterodimerization activity(GO:0046982);inosine nucleosidase activity(GO:0047724)",purine nucleoside catabolic process(GO:0006152);ribonucleoside catabolic process(GO:0042454),cytoplasm(GO:0005737);cytosol(GO:0005829)
Zm00001eb371150,Peptidase M28 family protein,VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 70 (PTHR10404:SF46),metalloprotease(PC00153),carboxypeptidase activity(GO:0004180);metallocarboxypeptidase activity(GO:0004181);peptidase activity(GO:0008233);metallopeptidase activity(GO:0008237);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),proteolysis(GO:0006508);meristem maintenance(GO:0010073);regulation of developmental process(GO:0050793),endomembrane system(GO:0012505)
Zm00001eb069410,Receptor-like serine_threonine-protein kinase,RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE (PTHR27002:SF722),transmembrane signal receptor(PC00197),,,
Zm00001eb048150,Glycerol-3-phosphate acyltransferase 5,OS10G0413400 PROTEIN (PTHR15486:SF83),scaffold/adaptor protein(PC00226),transferase activity(GO:0016740);acyltransferase activity(GO:0016746);phosphatase activity(GO:0016791);glycerol-3-phosphate 2-O-acyltransferase activity(GO:0090447),cutin biosynthetic process(GO:0010143),membrane(GO:0016020)
Zm00001eb219160,Serine_threonine-protein kinase SRK2E,SERINE_THREONINE-PROTEIN KINASE SRK2E (PTHR24343:SF509),non-receptor serine/threonine protein kinase(PC00167),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),abscisic acid-activated signaling pathway(GO:0009738),nucleus(GO:0005634)
Zm00001eb092810,DDT domain-containing protein PTM,DDT DOMAIN-CONTAINING PROTEIN PTM (PTHR46508:SF8),,zinc ion binding(GO:0008270);metal ion binding(GO:0046872),,nucleus(GO:0005634)
Zm00001eb110240,Ubiquitin-protein ligase CIP8,E3 UBIQUITIN-PROTEIN LIGASE MPSR1 (PTHR15710:SF132),ubiquitin-protein ligase(PC00234),zinc ion binding(GO:0008270);ligase activity(GO:0016874);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630),protein ubiquitination(GO:0016567),cytoplasm(GO:0005737)
Zm00001eb178290,Afadin_alpha-actinin-binding protein,AFADIN_ALPHA-ACTININ-BINDING PROTEIN (PTHR47057:SF1),cell adhesion molecule(PC00069),,,
Zm00001eb256540,Cation efflux protein cytoplasmic domain-containing protein,METAL TOLERANCE PROTEIN 3 (PTHR43840:SF23),transporter(PC00227),manganese ion transmembrane transporter activity(GO:0005384);monoatomic cation transmembrane transporter activity(GO:0008324),monoatomic cation transport(GO:0006812);transmembrane transport(GO:0055085);manganese ion transmembrane transport(GO:0071421);monoatomic cation transmembrane transport(GO:0098655),vacuolar membrane(GO:0005774);membrane(GO:0016020)
Zm00001eb255450,Polyadenylate-binding protein 2,OS02G0757900 PROTEIN (PTHR23236:SF22),translation initiation factor(PC00224),nucleic acid binding(GO:0003676);RNA binding(GO:0003723);poly(A) binding(GO:0008143),,nuclear speck(GO:0016607)
Zm00001eb243450,Homeodomain-like superfamily protein,HOMEODOMAIN-LIKE SUPERFAMILY PROTEIN (PTHR47206:SF1),homeodomain transcription factor(PC00119),transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677),,nucleus(GO:0005634)
Zm00001eb006270,Leucine-rich transmembrane protein kinase1,PROTEIN STRUBBELIG-RECEPTOR FAMILY 7 (PTHR48005:SF39),,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301),,plasma membrane(GO:0005886)
Zm00001eb066140,Translation elongation factor EF1A_initiation factor IF2gamma family protein,OS04G0677800 PROTEIN (PTHR23115:SF244),translation factor(PC00223),,,
Zm00001eb113360,Indole-3-acetic acid-amido synthetase GH3.17,INDOLE-3-ACETIC ACID-AMIDO SYNTHETASE GH3.17 (PTHR31901:SF33),,ligase activity(GO:0016874);acid-amino acid ligase activity(GO:0016881),,cytoplasm(GO:0005737)
Zm00001eb200370,Ribonuclease P_MRP protein subunit POP5,OCTANOYLTRANSFERASE (PTHR10993:SF12),transferase(PC00220),ribonuclease P RNA binding(GO:0033204),tRNA 5'-leader removal(GO:0001682);tRNA processing(GO:0008033),nucleus(GO:0005634);mitochondrion(GO:0005739);ribonuclease P complex(GO:0030677);endoribonuclease complex(GO:1902555);ribonucleoprotein complex(GO:1990904)
Zm00001eb221040,Plant basic secretory protein (BSP) family protein,PLANT BASIC SECRETORY PROTEIN (BSP) FAMILY PROTEIN (PTHR33321:SF12),,,,
Zm00001eb315620,RING-type E3 ubiquitin transferase,RING-TYPE E3 UBIQUITIN TRANSFERASE (PTHR45676:SF10),,zinc ion binding(GO:0008270);transferase activity(GO:0016740);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630),protein ubiquitination(GO:0016567),membrane(GO:0016020)
Zm00001eb059460,BHLH domain-containing protein,TRANSCRIPTION FACTOR PHYTOCHROME INTERACTING FACTOR-LIKE 13 (PTHR45855:SF17),DNA-binding transcription factor(PC00218),DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb089600,Glycosyltransferases,GLUCURONOSYLTRANSFERASE OS04G0103100-RELATED (PTHR10896:SF33),glycosyltransferase(PC00111),galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity(GO:0015018);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);xylosyltransferase activity(GO:0042285),plant-type secondary cell wall biogenesis(GO:0009834);glucuronoxylan biosynthetic process(GO:0010417);cell wall organization(GO:0071555),Golgi membrane(GO:0000139);membrane(GO:0016020)
Zm00001eb166550,Glycine-rich domain-containing protein 1,GLYCINE-RICH DOMAIN-CONTAINING PROTEIN 1 (PTHR34365:SF7),,,cellular response to osmotic stress(GO:0071470),
Zm00001eb211740,Actin-depolymerizing factor 10,ACTIN-DEPOLYMERIZING FACTOR 4 (PTHR11913:SF50),non-motor actin binding protein(PC00165),actin binding(GO:0003779);actin filament binding(GO:0051015),actin filament organization(GO:0007015);actin filament depolymerization(GO:0030042),cytoplasm(GO:0005737);actin cytoskeleton(GO:0015629)
Zm00001eb032280,cysteine dioxygenase,CYSTEINE DIOXYGENASE (PTHR22966:SF58),,"oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen(GO:0016702);cysteine dioxygenase activity(GO:0017172);metal ion binding(GO:0046872)",detection of hypoxia(GO:0070483),
Zm00001eb159390,Heat stress transcription factor C-1,HEAT STRESS TRANSCRIPTION FACTOR C-1A (PTHR10015:SF460),winged helix/forkhead transcription factor(PC00246),RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565),regulation of DNA-templated transcription(GO:0006355);cellular response to heat(GO:0034605),nucleus(GO:0005634)
Zm00001eb120610,Beta-glucuronosyltransferase GlcAT14B,OS01G0201100 PROTEIN (PTHR45719:SF7),glycosyltransferase(PC00111),glucuronosyltransferase activity(GO:0015020);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757),,membrane(GO:0016020)
Zm00001eb302150,Thioredoxin,"THIOREDOXIN-LIKE 1-2, CHLOROPLASTIC (PTHR43601:SF17)",oxidoreductase(PC00176),,cell redox homeostasis(GO:0045454),chloroplast(GO:0009507)
Zm00001eb277370,Zinc transporter 4,ZINC TRANSPORTER 10 (PTHR11040:SF216),secondary carrier transporter(PC00258),zinc ion transmembrane transporter activity(GO:0005385);metal ion transmembrane transporter activity(GO:0046873),transition metal ion transport(GO:0000041);monoatomic ion transport(GO:0006811);metal ion transport(GO:0030001);transmembrane transport(GO:0055085);zinc ion transmembrane transport(GO:0071577),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb153090,Dynamin-related protein 5A,DYNAMIN-LIKE PROTEIN C (PTHR11566:SF169),membrane traffic protein(PC00150),GTPase activity(GO:0003924);GTP binding(GO:0005525);microtubule binding(GO:0008017),,cytoplasm(GO:0005737);microtubule(GO:0005874);membrane(GO:0016020)
Zm00001eb291140,Putative MYB DNA-binding domain superfamily protein,OS05G0488600 PROTEIN (PTHR31499:SF24),homeodomain transcription factor(PC00119),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355),
Zm00001eb029220,Dof zinc finger protein,DOF ZINC FINGER PROTEIN (PTHR31992:SF75),,DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb364610,Lysine ketoglutarate reductase trans-splicing related 1,"KETOGLUTARATE REDUCTASE TRANS-SPLICING-LIKE PROTEIN, PUTATIVE (DUF707)-RELATED (PTHR31210:SF11)",,,,
Zm00001eb061550,DUF868 family protein,EXPRESSED PROTEIN (PTHR31972:SF74),,,,
Zm00001eb064450,Purple acid phosphatase,PURPLE ACID PHOSPHATASE 13 (PTHR22953:SF15),phosphatase(PC00181),,,
Zm00001eb119410,Non-yellow coloring1,"CHLOROPHYLL(IDE) B REDUCTASE NYC1, CHLOROPLASTIC-RELATED (PTHR24314:SF21)",transfer/carrier protein(PC00219),oxidoreductase activity(GO:0016491);chlorophyll(ide) b reductase activity(GO:0034256),PSII associated light-harvesting complex II catabolic process(GO:0010304);chlorophyll catabolic process(GO:0015996),chloroplast thylakoid membrane(GO:0009535);plastid(GO:0009536)
Zm00001eb062550,NEDD8-activating enzyme E1 regulatory subunit,NEDD8-ACTIVATING ENZYME E1 REGULATORY SUBUNIT (PTHR10953:SF29),ubiquitin-protein ligase(PC00234),nucleotide binding(GO:0000166);ubiquitin-like modifier activating enzyme activity(GO:0008641);NEDD8 activating enzyme activity(GO:0019781),protein neddylation(GO:0045116),nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb195970,Peroxisomal membrane 22 kDa (Mpv17_PMP22) family protein,PEROXISOMAL MEMBRANE PROTEIN 2 (PTHR11266:SF80),transporter(PC00227),,,cytoplasm(GO:0005737);membrane(GO:0016020)
Zm00001eb239420,Calmodulin-binding protein MPCBP,"PROTEIN MPCBP, PUTATIVE, EXPRESSED-RELATED (PTHR44102:SF3)",,,,
Zm00001eb374100,cinnamyl-alcohol dehydrogenase,CINNAMYL-ALCOHOL DEHYDROGENASE (PTHR42683:SF89),oxidoreductase(PC00176),"zinc ion binding(GO:0008270);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616);cinnamyl-alcohol dehydrogenase activity(GO:0045551);metal ion binding(GO:0046872)",lignin biosynthetic process(GO:0009809),
Zm00001eb371830,O-fucosyltransferase family protein,O-FUCOSYLTRANSFERASE 2 (PTHR31933:SF9),protein modifying enzyme(PC00260),transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757),fucose metabolic process(GO:0006004),membrane(GO:0016020)
Zm00001eb353560,Phosphotransferase,HEXOKINASE-5 (PTHR19443:SF22),kinase(PC00137),"nucleotide binding(GO:0000166);glucokinase activity(GO:0004340);hexokinase activity(GO:0004396);ATP binding(GO:0005524);D-glucose binding(GO:0005536);fructokinase activity(GO:0008865);kinase activity(GO:0016301);transferase activity(GO:0016740);phosphotransferase activity, alcohol group as acceptor(GO:0016773)",intracellular glucose homeostasis(GO:0001678);carbohydrate metabolic process(GO:0005975);glucose metabolic process(GO:0006006);glycolytic process(GO:0006096);response to glucose(GO:0009749);hexose metabolic process(GO:0019318);carbohydrate phosphorylation(GO:0046835);glucose 6-phosphate metabolic process(GO:0051156),mitochondrion(GO:0005739);cytosol(GO:0005829)
Zm00001eb031800,Hydrolase-like protein,HYDROLASE C777.06C-RELATED (PTHR42663:SF6),hydrolase(PC00121),hydrolase activity(GO:0016787),,
